Time(Iteration),LinUCB,LinTS
0,0.46901919027083494,0.48047890956255374
1,0.8018093500493793,1.053157342988269
2,1.1951653331232428,1.4864533921912666
3,1.6799399102329364,2.0811444979342424
4,2.0455504456822284,2.5398219116452267
5,2.4149514625534927,3.0090767565734997
6,2.774058698128669,3.3875712149805706
7,3.2130607576255357,3.7772078719831854
8,3.720927752772057,4.139736192917511
9,3.979141420182682,4.501757624031331
10,4.237659111986222,4.580906550303019
11,4.3643823801472434,4.778787552401111
12,4.715654024150557,5.019068737696664
13,4.991981666589075,5.10645089569366
14,5.226336885257405,5.172572592955745
15,5.4403238126411955,5.183553433701231
16,5.55363109966797,5.190939906999839
17,5.665853703781368,5.227535300660039
18,5.817286474023281,5.343691848252813
19,6.006174807844048,5.422946505467429
20,6.085868495867588,5.427987524164498
21,6.281059089148782,5.4454632355845645
22,6.37769467553941,5.485298746150496
23,6.510769151862371,5.533122755520483
24,6.588108829071682,5.603228504522965
25,6.723064006552756,5.711048231679251
26,7.029682109735175,5.751765240012551
27,7.075763792458562,5.772706609990396
28,7.167064052285491,5.810911931089971
29,7.288385308346447,5.821322962115008
30,7.423426368183611,5.865230610222626
31,7.47476800836872,5.869453691179044
32,7.587500652104213,5.8874908840298925
33,7.744161326701201,5.9468521461573935
34,7.9437342092581815,6.025217539665595
35,8.049021114138096,6.059757868530999
36,8.1988528491133,6.067726305423152
37,8.292582199945112,6.1520948133999385
38,8.41721552109309,6.158404586452017
39,8.464758812565272,6.166486127564611
40,8.551085795324202,6.169899547832901
41,8.702856598155545,6.176209320884979
42,8.823886518152362,6.181945407396035
43,8.954638347512944,6.198525457018934
44,8.983505523477977,6.221680865869466
45,9.071083317522561,6.239294380156287
46,9.157102947879967,6.265089910721337
47,9.22486672176093,6.270825997232393
48,9.302266224349406,6.29350626542416
49,9.424456126469426,6.300129662635273
50,9.498669009990993,6.334669991500677
51,9.610199773590784,6.34445678105398
52,9.851573375146582,6.364452628875038
53,9.939965573060228,6.377333884334177
54,9.971337474440265,6.3871206738874795
55,10.043052780148525,6.395202215000074
56,10.12124771533421,6.408397094618247
57,10.170041995073513,6.412697825586593
58,10.253616110164021,6.445163319533281
59,10.310487327265374,6.449464050501627
60,10.445801554797537,6.455773823553703
61,10.575627663614096,6.463855364666297
62,10.680628327593508,6.479617476548543
63,10.754107490245497,6.491233854473245
64,10.870346317759218,6.497414980872188
65,10.949318524350357,6.524562012769307
66,11.044620462547147,6.543681682593156
67,11.070741582337766,6.548722701290226
68,11.088022127484887,6.561014677764331
69,11.142440109695052,6.564850349561735
70,11.175279776414508,6.572291684513499
71,11.294541615050424,6.58599475453386
72,11.349110975831593,6.591222050612937
73,11.464682814097163,6.619682492015345
74,11.541862360199014,6.624801160724343
75,11.634556033877848,6.632242495676107
76,11.744037222172569,6.6462591898555035
77,11.833664833344711,6.651995276366558
78,11.92172607113601,6.6569134251369615
79,11.93932465248274,6.674902149976154
80,12.032296531071257,6.679820298746558
81,12.100818486794902,6.694654930666606
82,12.182699312051327,6.700391017177661
83,12.251291771097291,6.713520400657001
84,12.340493800347687,6.719830173709077
85,12.417683069180503,6.730730525901509
86,12.508421325212417,6.734566197698913
87,12.56880728446015,6.7460558288763774
88,12.705035599480947,6.7490735629331295
89,12.760555259161972,6.7538786074830925
90,12.833711554260727,6.758919626180162
91,12.863904182692872,6.778521278490857
92,12.865990874788531,6.792537972670253
93,12.928751826086742,6.798274059181308
94,13.026092851307649,6.805401769974037
95,13.103562738325389,6.816208487210611
96,13.129716674037857,6.825208424689391
97,13.235084200437687,6.830944511200447
98,13.311695095811299,6.8398439900536925
99,13.349067950047177,6.8447621388240965
100,13.39591419556594,6.8485978106215
101,13.492925312667614,6.854333897132555
102,13.566426771807889,6.865128460496034
103,13.675096422940177,6.872256171288763
104,13.685707973903806,6.876091843086167
105,13.702890110954522,6.882401616138243
106,13.742547278702592,6.886237287935647
107,13.796964840535447,6.890072959733051
108,13.858800341291825,6.9023844054717385
109,13.884069258878858,6.906220077269142
110,13.901541093478352,6.9111382260395455
111,13.998695894342939,6.918265936832275
112,14.042032155472086,6.922101608629679
113,14.083230924491616,6.925515028897967
114,14.11555476918374,6.940389830080157
115,14.150449342620496,6.964892217338109
116,14.162883658285846,6.969810366108513
117,14.263981643852592,6.974728514878916
118,14.268282374820936,6.977746248935668
119,14.338319978779442,6.986645727788914
120,14.341224608615752,6.990481399586318
121,14.41162140303616,6.994317071383722
122,14.46656700113935,6.998152743181126
123,14.574652931035084,7.0392378047159285
124,14.58508287359832,7.0430734765133325
125,14.639004915497043,7.051972955366578
126,14.687805766225747,7.057709041877634
127,14.736895843246998,7.1200764797566745
128,14.764775721109396,7.124994628527078
129,14.811919647770779,7.12801236258383
130,14.873528695693446,7.167051369908547
131,14.953197142421109,7.171969518678951
132,15.071898265867754,7.17701053737602
133,15.12516118593335,7.180028271432772
134,15.16874006142723,7.186338044484849
135,15.207177506350353,7.201212845667039
136,15.248759026738124,7.220284503855341
137,15.283164334600869,7.226020590366396
138,15.337610595265238,7.230825634916359
139,15.414971847613666,7.236561721427414
140,15.430041271659269,7.239579455484166
141,15.533480136446348,7.25106908666163
142,15.596739091009308,7.255987235432033
143,15.640753740093922,7.261723321943089
144,15.671569139993773,7.266641470713492
145,15.739376167107235,7.274723011826086
146,15.766909999581065,7.279641160596489
