Time(Iteration),LinUCBTheta,LinTSTheta
0,0.9914014382701503,0.9835869045090959
1,0.9819971149593183,0.9798294456407399
2,0.9677183216212686,0.9519706939478146
3,0.9585854238304705,0.9364323158336404
4,0.9479102011058396,0.9382173623305061
5,0.9381069043913662,0.9238528866262337
6,0.9141060331004954,0.9089629184821764
7,0.9069805304526548,0.9006695356844912
8,0.8968302154894682,0.8628512219714152
9,0.8670888605706459,0.846485252166657
10,0.8607841100170474,0.8269866531451857
11,0.8546738347009863,0.7961858025483173
12,0.7955632253241365,0.7703347069356903
13,0.7561649660153902,0.7573032666459177
14,0.7408207375805131,0.7527144779851062
15,0.7073375805146992,0.7467964843507289
16,0.6889154358816925,0.7427900154075819
17,0.6605429569278229,0.726409395037287
18,0.6436524309031841,0.7048328953286909
19,0.6076694147980168,0.6999553975107574
20,0.5739755026892865,0.6931357961490938
21,0.5530402645182947,0.6443871532826837
22,0.5161521242520254,0.6062974026263748
23,0.48444818955168784,0.5781211869197069
24,0.4761192505805476,0.563427622499485
25,0.4697089156617344,0.5241181833848281
26,0.4641662574720594,0.510489268258982
27,0.452235007005198,0.4952045015118339
28,0.4465981479980856,0.4977953580657141
29,0.4438720406947736,0.4933330444369862
30,0.439099595452811,0.4910047519686584
31,0.4205477293227567,0.489648429050688
32,0.4126481294318892,0.4523453239881811
33,0.41120663592627443,0.4516776216742414
34,0.40564152950165744,0.4513690578053436
35,0.4023083502058119,0.4498002364791388
36,0.39721929234635367,0.4466113107743717
37,0.397819927256184,0.4469362258056213
38,0.39179317227273097,0.4462099574882757
39,0.39152955486799845,0.4465185885164244
40,0.3855617210017441,0.441362582446364
41,0.3867091276875208,0.43966026298716604
42,0.3861631629064302,0.4385215301769228
43,0.3781748769564902,0.4383867676639472
44,0.373416018433014,0.4391459368897383
45,0.3686128540480446,0.4372713809841592
46,0.3656982294099636,0.4374033064474275
47,0.36353076922591815,0.43718546034422223
48,0.3649018124053465,0.43734172575791536
49,0.3610745030633023,0.43745334791772805
50,0.3552783671373021,0.4366671674096563
51,0.3535556376466311,0.4362393662783869
52,0.3505854512097515,0.43622968726338635
53,0.348607357129772,0.4360376932619654
54,0.34462923827024394,0.4350763016224641
55,0.33463667118087764,0.4349343185870632
56,0.33273748156891475,0.4343845844382681
57,0.3319408550046325,0.4338252530344402
58,0.3319870236103168,0.433591034866332
59,0.3283098544332355,0.4329759432828276
60,0.3256493599396919,0.43230063350478776
61,0.32318500176601644,0.4318262761061269
62,0.324148997052213,0.42606380541730227
63,0.32282350003547494,0.4259446980919123
64,0.31792320376035393,0.4259559666880356
65,0.3181539363653365,0.42558181609060536
66,0.31815931412009374,0.4256269457358335
67,0.3159457859939698,0.4245091510459325
68,0.31759008505224107,0.4221926321889583
69,0.31619313344367594,0.4221773201393303
70,0.3165751559360507,0.42160747362743417
71,0.31652999517703734,0.4212229509784905
72,0.31689916040805505,0.4212164872229448
73,0.31638158560037855,0.4211978675594378
74,0.31082871513861743,0.4210314539366194
75,0.3096760271656034,0.42113525779515193
76,0.31214749252429963,0.4212350500329478
77,0.3108232872890476,0.42120000083844567
78,0.3100884414546318,0.42060237793401545
79,0.30980702667934273,0.4205351952892931
