Time(Iteration),LinUCBTheta,LinTSTheta
0,0.9418379057255682,0.9552822831998009
1,0.9165037675733428,0.9262641153104892
2,0.8906189603609244,0.8675264873338839
3,0.846696082054969,0.7969848541401059
4,0.8199907198464793,0.7565115359993774
5,0.7985931596426827,0.663434605983978
6,0.7138781698962979,0.627343388211926
7,0.6367325511683425,0.5623336875072362
8,0.5408532453306354,0.5228888514258957
9,0.4636829809370037,0.47061564074660583
10,0.440049857100769,0.4568022396133101
11,0.4328218251011095,0.4046361596052061
12,0.3926290497154254,0.388131937699452
13,0.36744899742707726,0.3851964300765693
14,0.3305635778079993,0.3840941070978078
15,0.3227041713468795,0.3777117854221537
16,0.3135345581385285,0.37236810119816066
17,0.3098077266819745,0.3666372582366705
18,0.31356110229038914,0.36105458077512675
19,0.3183176690029214,0.3571907465905951
20,0.3179805175672448,0.3577969901898752
21,0.31647421023214506,0.35769255922489307
22,0.310809016771987,0.35531044789189037
23,0.31691096525417495,0.35174201842194774
24,0.3199765907737341,0.35477735258454873
25,0.31637712791223016,0.35182241059398567
26,0.30252577833440303,0.3497930066410014
27,0.29550816380955014,0.3493706048169897
28,0.29391445080255546,0.34478356846324526
29,0.29263273599746453,0.34559614121923554
30,0.28877808214831296,0.34832948827925464
31,0.28403677686516193,0.34845366224377655
32,0.2799950071821794,0.34895181487199534
33,0.2829062616738178,0.3506370064790685
34,0.27533892815920585,0.3375790063642524
35,0.27657763632605753,0.3381008051716964
36,0.27030709861152863,0.340177265148888
37,0.2682784975100644,0.3355869227298264
38,0.2658013304066308,0.33506411195977315
39,0.2643129685087682,0.3346445588876555
40,0.2559356326253326,0.33374857289044046
41,0.24929780300952178,0.3329836339701693
42,0.2378632185386489,0.3325352593480767
43,0.23346169627113184,0.3315854645520428
44,0.23143513235101273,0.33069413027457945
45,0.23157533749830067,0.3313147735170045
46,0.22325575993043487,0.32866383127519844
47,0.2236430429608977,0.3289412311425977
48,0.22297490904109152,0.3276766041449135
49,0.22333102305995917,0.3282610249108421
50,0.2235759536680865,0.32894532206868093
51,0.2252868414518962,0.32896995790222594
52,0.21501050257314228,0.32954900589083547
53,0.2164080818515087,0.33161747148794163
54,0.21265179798367165,0.3309186160223713
55,0.21442657508041169,0.3316558313345846
56,0.21546689477833722,0.33311482559892686
57,0.2160367292215602,0.33281432706746755
58,0.21419470095216858,0.33202287568615363
59,0.21379986852494434,0.3361655562769562
60,0.21387885984953403,0.3358414395929158
61,0.21719907882775152,0.3359085828627705
62,0.2179430796077046,0.3358298852553009
63,0.21892569185890767,0.3361522784656653
64,0.2205847865946035,0.3364983433571175
65,0.2173861184875398,0.3372393055542779
66,0.2189436441359856,0.3363399651562101
67,0.21875956710349992,0.3364432396721016
68,0.21959623503028528,0.33668585223318614
69,0.21857050668511144,0.3371652884489434
70,0.21935310326209428,0.3368753787887981
71,0.2098422326484747,0.33678666065699636
72,0.20406760043608213,0.3370722016169184
73,0.2029737548696724,0.33671205698584555
74,0.20243817680642437,0.3360433659528982
75,0.20662708969168309,0.3364007906294286
76,0.20757120713205626,0.33623991323129065
77,0.20336937463028804,0.3362335106469817
78,0.20255202873453043,0.33610985913192154
79,0.20268477786796782,0.33416534209129967
80,0.2054860289345936,0.33351666201578206
81,0.20439105817650324,0.3334570672868725
82,0.20489648205658292,0.33361953278990863
83,0.20384999143400345,0.33262596775574843
84,0.20306827078450135,0.3329430675721596
85,0.20251481379162617,0.3334025646972423
86,0.2019031587131145,0.3337127229194942
87,0.20061799661036708,0.33460874942943514
88,0.19419820665245324,0.33450560727274237
89,0.1959282162435747,0.3347218211051077
90,0.19730372886850653,0.3351758900327228
91,0.19661811285791345,0.33521172461626036
92,0.19539246098947433,0.3356360255641021
93,0.19123347288274273,0.3349462614926747
94,0.1906903175549417,0.3352194539101836
95,0.18578493122743261,0.3333328405174426
96,0.18445424571948502,0.33271429813194553
97,0.18287839799794775,0.3325444520975608
98,0.18196254244594556,0.3327374164689402
99,0.18326711424474398,0.3331192158899555
100,0.18284703890956702,0.3333099284327514
101,0.18322140189490194,0.3331969363856312
102,0.17985275415122354,0.3327952722118092
103,0.1717079759123831,0.33270979528632283
104,0.17106986489578996,0.3326508041782469
105,0.1706266293310179,0.3325582883088926
106,0.17153477929801755,0.3321120295171035
107,0.17261015592499301,0.3321668905298722
108,0.1714469039886911,0.33202749385042335
109,0.17135474137132642,0.33237193358700934
110,0.17139759284088457,0.3325310378526474
111,0.16777349483654194,0.33267192364401205
112,0.16868244069539182,0.33227100395101933
113,0.16832518501794624,0.3324674171063404
114,0.16828138595756031,0.331976657223906
115,0.1685256273554669,0.3335539517169822
116,0.16698485159491852,0.33350382906162773
117,0.17025540271844625,0.3334037304606517
118,0.17067375154493397,0.33358616775518224
119,0.17182857171081717,0.3333337581966084
120,0.17238605360053438,0.3333249801005427
121,0.1770496954123849,0.33302631358351104
122,0.1779778283935784,0.33293027360404526
123,0.17944196053247474,0.330603292852562
124,0.17717233484907408,0.3303016819664791
125,0.1785941773848599,0.3297890147646997
126,0.17848871734616867,0.32978550592496086
127,0.1756291007955995,0.329382891378218
128,0.17504613131321894,0.32940323500386703
129,0.17575495241290004,0.3294933411089952
130,0.175154913741512,0.33049576840321426
131,0.17731665418390324,0.33035542919599836
132,0.17758684037114353,0.3303287388725503
133,0.17692813968234794,0.33023570115670864
134,0.1777788108789194,0.3305868958355694
135,0.17652610214309217,0.3305248235240329
136,0.17642815257524888,0.3314803967508604
137,0.17635650538164077,0.3315342911303646
138,0.1749697357729812,0.3313585541489695
139,0.1755717321792934,0.33151052029197237
140,0.17560657846014102,0.3315302247048829
141,0.17413629697439403,0.3323811598344858
142,0.17346254002072115,0.33220571536296334
143,0.17331617660551787,0.3321647562161751
144,0.17482830367862645,0.3321803967301166
145,0.1751548461221294,0.3319394118327758
146,0.1751403092310799,0.33186910091899074
147,0.17456347279708265,0.3316856550799969
148,0.17561456428427935,0.33209148808108296
149,0.17406082307971524,0.3325997353418453
150,0.17200631101933767,0.3324361696947409
151,0.1715778857134729,0.3325480431544038
152,0.17026375146023504,0.3314387428084472
153,0.17026666591171324,0.3312430466190427
154,0.17032902815161471,0.32759169683560646
155,0.17113384022378114,0.3276343025368969
156,0.1706537757356243,0.327647974046944
157,0.1696892246049409,0.3275309164871042
158,0.16871692704097335,0.32761225661038557
159,0.16801559443118325,0.3276275811007471
160,0.16737274310292877,0.32769018868370936
161,0.16761207142217655,0.3278110826457888
162,0.16695418517026123,0.3280875501619274
163,0.16563770171568998,0.32817838170515395
164,0.1661885445604696,0.3281978710757539
165,0.16663887082051448,0.32802019268684884
166,0.16667075666548523,0.3287988767404325
167,0.16647252951260771,0.3289074134693195
168,0.16615418371103502,0.3289610586404234
169,0.1664809732399747,0.3290385000881157
170,0.16658892607581718,0.332077425914194
171,0.16661175856023086,0.3320919269854014
172,0.16729669879051162,0.3321787873834101
173,0.16796939491872062,0.332166121749588
174,0.17261756884476784,0.3329646555249238
175,0.17241505192685797,0.3331432694057041
176,0.1720758581919441,0.33210915243756595
177,0.17218020610644885,0.3320680435681224
178,0.17201325012422547,0.3318899008396281
179,0.1722765791326283,0.3320152550530744
180,0.1708349012848704,0.3319105708481339
181,0.1709621474220941,0.3319803565710926
182,0.1707665964182066,0.3320947359266984
183,0.1682498935780286,0.3320701890383945
184,0.1683644840837658,0.33212301873691275
185,0.16880371030291139,0.3321347911775266
186,0.1691460230797039,0.3322526972456422
187,0.1699279087759054,0.33223788063648074
188,0.16927136469082835,0.33234435970755233
189,0.16947565307003945,0.33225240497540043
190,0.1696070722166236,0.3322778107822314
191,0.16943399279846325,0.3319646092195335
192,0.16888937516193112,0.3317260070509888
193,0.16893714230858595,0.3317135090188214
194,0.16838651249238845,0.3315641687427926
195,0.16683982038378162,0.33153871218726616
196,0.16686429553057908,0.3313211827303167
197,0.16691750402220001,0.3312593896257817
198,0.1670278742253399,0.3312719514747773
199,0.16692227963353218,0.331296380713774
200,0.16657049891766118,0.3315163610574746
201,0.16475686478166868,0.33165193044478003
202,0.16434615058174473,0.3316592256905622
203,0.1639882020162431,0.3314920396462649
204,0.16349105200310046,0.3314305366442682
205,0.16335208594768952,0.33139992378917854
206,0.16341128186418657,0.3314753166350595
207,0.1633611939282505,0.33147712737152235
208,0.16287410297256458,0.3315810454373659
209,0.16115789187651267,0.3316929800020371
210,0.16195497253710375,0.33165054384214865
211,0.16206192572436184,0.3314567925718556
212,0.1623957037084178,0.3314260737889435
213,0.16222445317518075,0.3314423392142164
214,0.16250606973403028,0.3314441985544342
215,0.16285564608579578,0.3314992783954279
216,0.16290106212310243,0.331383242157919
217,0.16186863434067755,0.3313780946653364
218,0.16191558407822787,0.3315825954171085
219,0.1618063764022461,0.33148625809165827
220,0.16065134950079987,0.3314623060790566
221,0.16015569335197755,0.3314595522855723
222,0.16030452590284183,0.32975630439325065
223,0.15945498353389553,0.32951114579390345
224,0.1597244170184671,0.3295231391184407
225,0.16031465272328643,0.32956509839767645
226,0.15989694708838226,0.32952427298799464
227,0.1618602815667467,0.3294417229917492
228,0.16167370417632793,0.32956673712539203
229,0.16189735097977268,0.33027430103331573
230,0.16144261343716337,0.33057576358040486
231,0.16158450969909346,0.3305039450737687
232,0.16160406042129713,0.3305921990667246
233,0.1610318962972393,0.3307094007993422
234,0.1619231325390535,0.3306834644006186
235,0.16161600659916966,0.3305587900208825
236,0.16127246060056338,0.33065249666837476
237,0.1624015961781175,0.33074266482970316
238,0.16227083843095153,0.33073620753987243
239,0.16189202167850122,0.33078129949053686
240,0.1619001417162956,0.33092987753362807
241,0.1614852973874793,0.33104756231144644
242,0.16181423856551863,0.33115853512699156
243,0.16168576015112768,0.33261349758463876
244,0.16161435693715917,0.33260673226961973
245,0.16140432156863843,0.33295812059586516
246,0.16127509427177938,0.33222919709709087
247,0.1612869452041888,0.3323837395593443
248,0.16118346101602418,0.33250187472547255
249,0.16119634055614068,0.332562208636201
250,0.1610545249899749,0.3326408007415705
251,0.16148135623285434,0.3326674602715765
252,0.16101154862098094,0.33257466768793353
253,0.16145262691110912,0.3324593375903528
254,0.16151412026101974,0.3324684316684339
255,0.16147647478642513,0.3323909961880367
256,0.16143681959557155,0.3323752441960467
257,0.1550759873088492,0.33238812315301025
258,0.1551680848848098,0.33235238695730074
259,0.1551542446608331,0.33226701505551703
260,0.15501989037998196,0.33228722861972876
261,0.1554592952625799,0.33221010389354244
262,0.15511622480731319,0.332278675464483
263,0.15479527214547695,0.33125352434987143
264,0.15533082961750613,0.33110491282222193
265,0.1549426099106918,0.33119406058412637
266,0.15472070489956258,0.3312378790174605
267,0.1529869477455608,0.3312513970338755
268,0.15231005607428996,0.331168071772307
269,0.15009825691702325,0.3312782599673454
270,0.15020981099038602,0.33117722646662806
271,0.15041770849014358,0.3310231927170283
272,0.14997389168800665,0.33098447885700916
273,0.1498121209681467,0.3309132369528656
274,0.15034463288168412,0.3310576600909372
275,0.15049158798728396,0.3311755109976088
276,0.1505293967527018,0.331105626957213
277,0.15099129588584367,0.33102692248470317
278,0.1505413585930625,0.3302402156684704
279,0.15084719502366528,0.3299022242619662
280,0.15091709459426889,0.3299410700466222
281,0.1506341605011212,0.3299159043433725
282,0.1509550100713821,0.3300209441342816
283,0.15086125384351445,0.32994916774510274
284,0.15058629300277718,0.32998099417901916
285,0.15061459096897326,0.33013563096406623
286,0.14991482411306514,0.329315100668211
287,0.15004930784824153,0.329339960476294
288,0.15103779691027902,0.3294356237489195
289,0.1502794169534103,0.3294428276723358
290,0.15060758220237788,0.32952072311065417
291,0.15083503026982284,0.3296033573410192
292,0.15086770268966326,0.32944304324214035
293,0.15105069288196454,0.32951339627740184
294,0.15069509222446337,0.3295429633976789
295,0.15081325332699017,0.3295116069452593
296,0.15044318269466392,0.32934646601642886
297,0.15049488935853522,0.3294740913145223
298,0.15051864083870936,0.32933455670612133
299,0.15055212013393826,0.32930561949513426
300,0.14620684002814194,0.3293791260035998
301,0.14591042810749705,0.33234110258670124
302,0.14598335371050092,0.3323682699327578
303,0.1459173351554501,0.33237483134274187
304,0.1458660276190883,0.3324126987250354
305,0.14586543789102663,0.33096415900283055
306,0.14639467799160713,0.3310809039409161
307,0.14666785856988826,0.33107333503511266
308,0.14651854655573632,0.33102653835960305
309,0.14373898486266623,0.33108316766877777
310,0.14373661485076433,0.3310896914406269
311,0.14299676327382246,0.33103208159224506
312,0.14346920593926601,0.33099286354738894
313,0.14339826986947285,0.331088946869056
314,0.14323696072458086,0.33100583063622213
315,0.1429901558499552,0.3311178096701629
316,0.14258221572710789,0.331072644047418
317,0.14251439957019119,0.33106699390118915
318,0.14145652667534045,0.33095471768995854
319,0.14141934156619906,0.3309498930471234
320,0.14074356116482412,0.33085683063034316
321,0.14059466228881073,0.33082870011557436
322,0.14021599912795135,0.3309236076338496
323,0.14071724803050084,0.330898428167587
324,0.1406772490985127,0.3309892513017063
325,0.14061151480637643,0.3309155176092847
326,0.14064984302113853,0.33102657768806354
327,0.14067905537537323,0.3310502560234053
328,0.14071887397687408,0.331074746500847
329,0.14075616720873269,0.33098470472497044
330,0.14067911007524178,0.33101227137049044
331,0.1406395327837018,0.33099532528401227
332,0.14075321353887765,0.33106823398816415
333,0.14089903503279197,0.33109021925296106
334,0.14134235757284486,0.3312193700095593
335,0.14133509597372373,0.3312747565912168
336,0.1412798999481895,0.3312225413263431
337,0.1413599476928141,0.33118935250545534
338,0.1413410570101738,0.3310255047574359
339,0.14002849920816957,0.3310098670921454
340,0.1412400940604896,0.33096604477395725
341,0.14119688383464368,0.3310348321204721
342,0.14002486093873778,0.33095770371986083
343,0.14002539532210403,0.3310052700429956
344,0.1401521036200812,0.33086510632664323
345,0.13503025414172304,0.33086857452595925
346,0.13478214724347415,0.33091862627101387
347,0.13485478938199355,0.33087826597658926
348,0.13559602750461092,0.33079250058226906
349,0.13556208155860255,0.3307622899535749
350,0.13523590651942313,0.33088364556183586
351,0.13515033306507576,0.3309506040476517
352,0.13525907556398303,0.33111456558119745
353,0.13514845966480213,0.33103239836196896
354,0.13504299300807018,0.33104164106040235
355,0.13463805133036555,0.3310343353722837
356,0.13455823103999767,0.3310427200802376
357,0.13462059345698169,0.3310768126465378
358,0.13467937104813948,0.33096235568903054
359,0.13313226178766122,0.3309565756360192
360,0.132997966918924,0.3310136241851817
361,0.1329322738200456,0.33108040053935894
362,0.1329037128963308,0.33106716306969197
363,0.13289428122841276,0.3310770177906722
364,0.132843889589262,0.33111316430784477
365,0.1328134921564402,0.33098541378361834
366,0.13279399428190466,0.3309751853184599
367,0.13287656556544397,0.33095030320341007
368,0.13288593209427418,0.33092081882602953
369,0.13271592379417024,0.33088701747406807
370,0.13279566462047554,0.33084960987004536
371,0.132727832438884,0.33076417816996584
372,0.1329644821264498,0.33075346846316905
373,0.13301401895214407,0.33083061675140224
374,0.1330364722138196,0.330835306435337
375,0.13322147280212351,0.330897524703611
